age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
42,entrepreneur,divorced,tertiary,yes,2,yes,no,,5,may,380,1,-1,0,
55,services,divorced,secondary,yes,1,yes,no,,5,may,208,1,-1,0,
51,admin.,single,secondary,yes,-2,no,no,,5,may,402,3,-1,0,
33,technician,married,secondary,yes,72,yes,no,,6,may,623,1,-1,0,
33,blue-collar,single,secondary,yes,-60,no,no,,6,may,243,1,-1,0,
60,retired,married,secondary,yes,15,no,no,,6,may,80,1,-1,0,
35,entrepreneur,married,secondary,yes,204,yes,no,,6,may,424,2,-1,0,
41,blue-collar,single,primary,yes,-137,yes,yes,,6,may,189,1,-1,0,
54,services,married,secondary,yes,0,yes,no,,6,may,138,3,-1,0,
52,blue-collar,divorced,primary,yes,-183,yes,no,,6,may,145,1,-1,0,
40,blue-collar,married,primary,yes,0,yes,no,,6,may,64,2,-1,0,
46,technician,married,secondary,yes,289,no,no,,7,may,51,3,-1,0,
35,blue-collar,married,primary,yes,0,yes,no,,7,may,292,1,-1,0,
35,blue-collar,single,,yes,-532,yes,no,,7,may,149,1,-1,0,
54,management,married,tertiary,yes,-248,yes,yes,,7,may,112,1,-1,0,
37,management,single,tertiary,yes,45,yes,no,,7,may,204,1,-1,0,
40,blue-collar,married,secondary,yes,-94,yes,yes,,7,may,227,1,-1,0,
39,blue-collar,married,secondary,yes,-345,yes,no,,7,may,69,1,-1,0,
47,blue-collar,married,secondary,yes,-5,yes,no,,7,may,444,1,-1,0,
50,blue-collar,married,primary,yes,354,yes,no,,7,may,123,2,-1,0,
34,blue-collar,single,secondary,yes,-947,yes,no,,8,may,211,3,-1,0,
51,management,married,primary,yes,57,yes,yes,,8,may,61,1,-1,0,
43,blue-collar,married,secondary,yes,-7,no,no,,8,may,70,1,-1,0,
26,blue-collar,married,secondary,yes,20,yes,no,,8,may,200,1,-1,0,
33,blue-collar,married,primary,yes,-744,yes,no,,8,may,206,1,-1,0,
44,blue-collar,married,secondary,yes,-617,yes,no,,8,may,172,1,-1,0,
52,management,single,tertiary,yes,0,no,no,,8,may,98,1,-1,0,
41,unemployed,married,primary,yes,-581,yes,no,,8,may,218,2,-1,0,
33,management,married,secondary,yes,879,yes,no,,8,may,245,1,-1,0,
30,technician,married,,yes,-315,yes,no,,8,may,201,2,-1,0,
35,management,married,tertiary,yes,89,no,yes,,8,may,166,3,-1,0,
34,technician,single,tertiary,yes,33,yes,yes,,9,may,244,1,-1,0,
30,admin.,single,,yes,1,no,no,,9,may,307,1,-1,0,
35,blue-collar,married,secondary,yes,-198,yes,no,,9,may,72,2,-1,0,
29,blue-collar,married,primary,yes,-43,yes,no,,9,may,484,1,-1,0,
33,technician,divorced,secondary,yes,-305,no,yes,,9,may,109,1,-1,0,
32,blue-collar,married,secondary,yes,-1,yes,no,,9,may,653,1,-1,0,
46,technician,single,secondary,yes,-1124,yes,yes,,9,may,206,2,-1,0,
